Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
1498,12,23,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,less than 1,savings,other banks,owner-occupied flat,one,skilled
5954,30,38,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,20 and 25,co-applicant,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
6416,48,59,0,1,0,1,male- single,no balance or debit,problematic running account,retraining,no savings,more than 7 years,less than 20,none,4 to 7,house/land,no running credits,free apartment,one,skilled
3617,12,28,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,more than 7 years,greater than 35,none,greater than 7,savings,no running credits,free apartment,four or five,skilled
1291,12,35,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
1275,24,36,1,1,1,1,male- divorced / living apart,Less than $200,paid back previous credits at this bank,retraining,500 to 1000,1 to 4 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
3972,24,25,1,1,1,1,male- single,greater than $200,no previous credits,used car,no savings,4  to 7 years,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
3343,15,28,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,1 to 4 years,less than 20,none,1 to 4,house/land,no running credits,rented flat,one,skilled
392,15,23,1,1,1,1,male- single,Less than $200,no previous credits,repair,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
2134,9,48,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,four or five,skilled
5771,30,25,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
4526,24,74,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,retraining,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,executive
2788,15,24,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,4  to 7 years,25 and 35,co-applicant,4 to 7,savings,other banks,owner-occupied flat,two or three,skilled
1382,6,28,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,greater than 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
5848,36,24,1,1,0,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
1228,12,24,0,1,0,1,male- single,no running account,no previous credits,other,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
1297,12,23,1,1,0,1,female,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,greater than 7,no assets,no running credits,free apartment,one,skilled
1552,24,32,1,0,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,4  to 7 years,20 and 25,none,less than 1,savings,other banks,owner-occupied flat,one,skilled
1963,12,31,1,0,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,none,1 to 4,savings,no running credits,free apartment,two or three,executive
3235,24,36,1,1,1,1,male- divorced / living apart,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,executive
4139,24,27,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,retraining,less than 100,1 to 4 years,20 and 25,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,unskilled
1804,12,44,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,new car,less than 100,less than one year,20 and 25,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
1950,18,34,1,1,1,1,male- single,greater than $200,no previous credits,retraining,no savings,4  to 7 years,less than 20,none,less than 1,savings,department stores,owner-occupied flat,two or three,skilled
12749,48,37,1,1,1,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,100 to 500,4  to 7 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,executive
1236,9,23,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,greater than 35,none,greater than 7,no assets,no running credits,free apartment,one,skilled
1055,18,30,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,skilled
8072,30,25,1,1,0,1,male- single,no running account,hesitant payment of previous credits,retraining,greater than 1000,less than one year,25 and 35,none,4 to 7,savings,other banks,owner-occupied flat,four or five,skilled
2831,30,33,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1449,9,27,1,1,0,1,male- single,greater than $200,no previous credits,retraining,no savings,4  to 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
5742,36,31,1,1,1,1,male- single,greater than $200,no previous credits,retraining,less than 100,4  to 7 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
2390,12,50,1,1,1,1,male- single,greater than $200,no previous credits,other,greater than 1000,more than 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
3430,24,31,1,0,1,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2273,36,32,1,0,0,1,male- single,no balance or debit,no previous credits,repair,no savings,4  to 7 years,20 and 25,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
2923,21,28,1,1,1,1,male- single,Less than $200,no previous credits,other,less than 100,1 to 4 years,greater than 35,none,less than 1,savings,other banks,owner-occupied flat,one,executive
1901,24,29,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,executive
3711,36,27,1,1,0,1,female,no balance or debit,no previous credits,repair,greater than 1000,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
8487,48,24,1,1,0,1,male- single,no balance or debit,no previous credits,other,greater than 1000,4  to 7 years,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2255,24,54,1,1,0,1,male- single,greater than $200,no previous credits,other,greater than 1000,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
1262,12,25,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
7253,33,35,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,4  to 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
6761,6,45,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,4  to 7 years,greater than 35,none,4 to 7,house/land,no running credits,owner-occupied flat,two or three,executive
1817,18,28,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,1 to 4 years,less than 20,none,1 to 4,house/land,no running credits,owner-occupied flat,two or three,skilled
2141,12,35,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,4  to 7 years,20 and 25,none,less than 1,house/land,no running credits,owner-occupied flat,one,skilled
3609,48,27,1,1,0,1,male- single,greater than $200,problematic running account,retraining,no savings,1 to 4 years,greater than 35,none,less than 1,no assets,department stores,owner-occupied flat,one,skilled
2333,30,30,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,one,executive
7824,28,40,1,0,1,1,male- single,greater than $200,problematic running account,new car,greater than 1000,less than one year,20 and 25,guarantor,greater than 7,no assets,other banks,free apartment,two or three,skilled
1445,18,49,1,1,0,1,male- single,Less than $200,problematic running account,items of furniture,greater than 1000,4  to 7 years,less than 20,none,greater than 7,savings,other banks,owner-occupied flat,one,unskilled
7721,24,30,1,1,1,0,male- single,no running account,no previous credits,used car,greater than 1000,less than one year,greater than 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
3763,21,24,1,1,0,0,male- single,no running account,no previous credits,other,greater than 1000,4  to 7 years,25 and 35,co-applicant,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
4439,18,33,1,1,1,1,male- single,no balance or debit,no previous credits,retraining,no savings,more than 7 years,greater than 35,co-applicant,less than 1,no assets,other banks,owner-occupied flat,one,executive
1107,12,20,1,0,1,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,one,executive
1444,15,23,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
12169,48,36,1,1,1,1,male- single,no balance or debit,problematic running account,other,greater than 1000,unemployed,less than 20,co-applicant,greater than 7,house/land,no running credits,rented flat,one,executive
2753,9,35,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,more than 7 years,20 and 25,co-applicant,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
